Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
script,script,"DESCRIPCIÓN<br data-mce-fragment=""1"">Gorra snapback de 5 paneles<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 5140000880/001<br data-mce-fragment=""1"">De color negro<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">60% algodón 40% poliéster<br data-mce-fragment=""1"">5 paneles<br data-mce-fragment=""1"">De alto perfil<br data-mce-fragment=""1"">Visera plana<br data-mce-fragment=""1"">Cierre de plástico a presión<br data-mce-fragment=""1"">Bucarán duro<br data-mce-fragment=""1"">Bordado en 3D",eS,gorras,"one size, éS gorras",true,Talla,one size,Color,black,,,eshat101010,0.0,shopify,5,deny,manual,100000.00,,true,true,889262947038,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5140000880-001-F-001.png?v=1616042218,1,,false,,,,,,,,,,,,,,,,,kg,,,active
script,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5140000880-001-B-001.png?v=1616042218,2,,,,,,,,,,,,,,,,,,,,,,
patch-1,patch,"DESCRIPCIÓN<br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 5140000910/001<br data-mce-fragment=""1"">De color negro<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">65% Poliéster 35% Algodón",éS,gorras,"one size, éS gorras",true,Talla,one size,Color,black,,,eshat1111,0.0,shopify,10,deny,manual,100000.00,,true,true,889262947038,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5140000910-001-F-001.png?v=1616042063,1,,false,,,,,,,,,,,,,,,,,kg,,,active
patch-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5140000910-001-B-001.png?v=1616042063,2,,,,,,,,,,,,,,,,,,,,,,
patch,patch,"<div class=""product-description col-xxs-12 col-sm-7"" data-mce-fragment=""1"">
<h3 data-mce-fragment=""1"">DESCRIPTION</h3>
<p data-mce-fragment=""1"" itemprop=""description""> <br data-mce-fragment=""1""></p>
</div>
<div class=""product-details col-xxs-12 col-sm-5"" data-mce-fragment=""1"">
<h3 data-mce-fragment=""1"">PRODUCT DETAILS</h3>
<div class=""product-number"" data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Item Code:</strong><span data-mce-fragment=""1""> </span><span data-masterid=""5140000910"" data-mce-fragment=""1"" itemprop=""productID"">5140000910/600</span>
</div>
<div class=""product-color"" data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Color:</strong><span data-mce-fragment=""1""> </span><span data-mce-fragment=""1"" itemprop=""color"">Red</span>
</div>
<div class=""product-main-attributes"" data-mce-fragment=""1"">
<div class=""line features"" data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Features:</strong>
<ul class=""value"" data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">66 % Polyester 35% Cotton</span></li>
</ul>
</div>
</div>
</div>",eS,gorras,"one size, éS gorras",true,Talla,one size,Color,red,,,es hat01,0.0,shopify,8,deny,manual,100000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0539/4871/1093/products/GORRA-ES.png?v=1616037433,1,,false,,,,,,,,,,,,,,,,,kg,,,active
patch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5140000910-600-F-001.png?v=1616037433,2,,,,,,,,,,,,,,,,,,,,,,
marana-1,Marana,"DESCRIPCIÓN<br data-mce-fragment=""1"">Duro se ha vuelto más duro. El zapato más duradero del skateboarding es ahora más duradero que nunca, ¡3 veces más duradero para ser exactos! etnies se asoció con el principal fabricante de caucho del planeta, Michelin, para ayudarnos a reinventar la suela Marana. La parte superior incluye una puntera de goma inyectada fusionada para una longevidad increíble y lazos de cordones ocultos para proteger sus cordones. Para mayor comodidad y rendimiento, el Marana incluye una lengüeta y un cuello acolchados con una plantilla Pro Foam 1. Gracias a Michelin, todo esto se asienta sobre una suela formulada con goma Michelin duradera.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 4101000403/629<br data-mce-fragment=""1"">Color: granate / blanco<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Plantilla Pro foam 1<br data-mce-fragment=""1"">Entresuela de espuma STI Evolution<br data-mce-fragment=""1"">Banda de rodadura duradera con surcos flexibles profundos<br data-mce-fragment=""1"">Suela de goma Michelin Performance<br data-mce-fragment=""1"">Puntera de goma inyectada fundida<br data-mce-fragment=""1"">Lengüeta y cuello acolchados<br data-mce-fragment=""1"">Lazos de encaje ocultos<br data-mce-fragment=""1"">Ante / Sintético / Textil",etnies,SHOES,"7.5, etnies footwear",true,Talla,7.5,Color,maroon,,,et004,0.0,shopify,1,deny,manual,319000.00,,true,true,194691066701,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000403-629-A-001.png?v=1616024609,1,,false,,,,,,,,,,,,,,,,,kg,,,active
marana-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000403-629-BO-001.png?v=1616024609,2,,,,,,,,,,,,,,,,,,,,,,
marana-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000403-629-S-001.png?v=1616024609,3,,,,,,,,,,,,,,,,,,,,,,
marana-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000403-629-TO-001.png?v=1616024609,4,,,,,,,,,,,,,,,,,,,,,,
